id,initial,city,name,culture,team_id,game_id,first_downs_number,first_downs_rushing,first_downs_passing,first_downs_penalty,game_totals_plays,game_totals_yards,game_totals_average,rushing_attempts,rushing_yards,rushing_average,passing_completions,passing_attempts,passing_interception,passing_yards,passing_average,passing_sacked,punting_punts,punting_yards,punting_average,punting_singles,return_totals_yards,punt_returns_attempts,punt_returns_yards,kick_returns_attempts,kick_returns_yards,interception_returns_attempts,interception_returns_yards,defense_tackles,defense_assists,defense_sacks,defense_sack_yards,defense_passes_defensed,defense_forced_fumbles,defense_fumble_recoveries,special_teams_tackles,penalties_number,penalties_yards,fumbles_number,fumbles_lost,possession_time,field_goals_made,field_goals_attempts,field_goals_blocked,field_goals_percent,field_goals_singles,kickoffs_number,kickoffs_end_zone,kickoffs_touchbacks,kickoffs_singles,id,game_num,week_num,game_date,date_tbd,time_tbd,game_status,away_team,home_team,away_coach,home_coach,mvp,stadium_id,attendance,away_score,away_score1,away_score2,away_score3,away_score4,away_scoreOT,home_score,home_score1,home_score2,home_score3,home_score4,home_scoreOT,sold_out,is_visible,stats_inc_id,period_value,period_time_remaining,last_update,name,location,id,culture,loc,score,win
1,bc,BC,Lions,en,1,12773,15,5,9,1,54,265,4.9,23,125,5,16,29,0,140,4.8,2,11,503,45.7,0,111,7,39,2,42,0,0,43,0,3,11,1,0,1,12,6,60,1,0,00:28:59,0,0,0,0,0,3,0,0,0,12773,NULL,18,"2014-09-27 21:30:00",0,0,Final,1,2,,,,3,30214,7,7,0,0,0,NULL,14,0,3,8,3,NULL,0,1,1411738,4,NULL,"2014-09-28 00:41:14","McMahon Stadium",Calgary,3,en,A,7,0
1,bc,BC,Lions,en,1,12781,14,4,7,3,51,239,4.7,15,34,2,20,34,0,205,6,2,9,367,40.8,0,50,5,15,2,35,1,38,43,0,2,17,3,0,0,8,9,70,0,0,00:28:16,1,1,0,100,0,4,0,0,0,12781,NULL,19,"2014-10-04 19:00:00",0,0,Final,1,6,,,,69,20125,17,10,0,7,0,NULL,19,0,9,3,7,NULL,0,1,1411745,4,NULL,"2014-10-05 00:07:24","Tim Hortons Field",Hamilton,69,en,A,17,0
1,bc,BC,Lions,en,1,12785,31,7,20,4,58,548,9.4,24,170,7,24,34,0,378,11.1,0,5,202,40.4,0,50,6,31,1,19,1,7,33,0,1,5,2,0,0,11,6,70,1,1,00:33:12,2,2,0,100,0,8,0,0,0,12785,NULL,20,"2014-10-11 22:00:00",0,0,Final,65,1,,,,1,31217,3,0,3,0,0,NULL,41,3,14,10,14,NULL,0,1,1411711,4,NULL,"2014-10-12 01:19:01","B.C. Place",Vancouver,1,en,H,41,1
1,bc,BC,Lions,en,1,12805,17,8,7,2,57,343,6,28,95,3,15,27,0,248,9.2,2,12,539,44.9,1,233,8,108,4,117,2,4,39,0,10,64,2,1,1,13,22,155,0,0,00:32:00,2,2,0,100,0,4,0,0,0,12805,NULL,22,"2014-10-25 19:00:00",0,0,Final,1,5,,,,17,24223,28,7,6,0,15,NULL,23,4,10,3,6,NULL,0,1,1411759,4,NULL,"2014-10-25 22:33:47","Investors Group Field",Winnipeg,17,en,A,28,1
1,bc,BC,Lions,en,1,12811,7,3,4,0,43,161,3.7,16,66,4,10,24,0,95,4,3,12,544,45.3,0,122,3,9,6,113,1,0,51,0,2,9,0,0,1,10,13,90,1,1,00:20:57,1,1,0,100,0,2,0,0,0,12811,NULL,23,"2014-11-01 19:00:00",0,0,Final,1,3,,,,2,26388,3,3,0,0,0,NULL,37,10,10,10,7,NULL,0,1,1411765,4,NULL,"2014-11-01 22:11:10","Commonwealth Stadium",Edmonton,2,en,A,3,0
1,bc,BC,Lions,en,1,12817,23,8,14,1,60,434,7.2,19,122,6,26,36,0,312,8.7,5,4,154,38.5,0,130,4,58,5,72,1,10,42,0,0,0,2,2,0,8,9,73,2,0,00:29:38,3,3,0,100,0,5,0,0,0,12817,NULL,24,"2014-11-07 22:00:00",0,0,Final,2,1,,,,1,33752,33,3,21,3,6,NULL,16,3,10,3,0,NULL,0,1,1411768,4,NULL,"2014-11-08 01:34:46","B.C. Place",Vancouver,1,en,H,16,0
1,bc,BC,Lions,en,1,12823,16,8,5,3,55,249,4.5,22,147,6,13,30,0,102,3.4,3,9,287,31.9,0,286,6,106,8,180,1,15,43,0,1,2,0,0,0,7,15,105,1,1,00:26:39,1,1,0,100,0,4,0,0,0,12823,NULL,30,"2014-11-16 13:00:00",0,0,Final,1,9,,,,9,15107,17,0,3,0,14,NULL,50,1,14,21,14,NULL,0,1,1411771,4,NULL,"2014-11-16 19:38:21","Percival Molson Stadium",Montreal,9,en,A,17,0
1,bc,BC,Lions,en,1,12861,17,4,10,3,49,313,6.4,15,59,3,18,32,0,254,7.9,2,7,286,40.9,1,122,4,31,5,91,1,1,55,0,2,6,3,1,0,6,15,95,1,0,00:25:36,2,2,0,100,0,3,0,0,0,12861,NULL,6,"2015-07-04 18:00:00",0,0,Final,1,65,,,,67,24376,16,3,4,9,0,NULL,27,0,10,3,14,NULL,1,1,1529646,4,NULL,"2015-07-04 22:04:10","TD Place Stadium",Ottawa,67,en,A,16,0
1,bc,BC,Lions,en,1,12869,25,5,18,2,58,480,8.3,14,76,5,34,44,0,404,9.2,0,6,289,48.2,0,176,6,73,5,103,1,29,43,0,1,3,2,0,0,6,17,152,1,0,00:29:54,5,5,0,100,0,3,0,0,0,12869,NULL,7,"2015-07-10 22:00:00",0,0,Final,4,1,,,,1,23062,32,7,0,8,14,3,35,3,3,6,17,6,0,1,1529651,5,NULL,"2015-07-11 02:22:00","B.C. Place",Vancouver,1,en,H,35,1
1,bc,BC,Lions,en,1,12877,19,9,7,3,44,327,7.4,23,200,8,12,21,0,127,6,0,7,404,57.7,2,82,2,2,2,80,1,5,44,0,2,16,4,1,0,6,11,93,2,0,00:26:53,1,1,0,100,0,4,0,0,1,12877,NULL,8,"2015-07-17 22:00:00",0,0,Final,1,4,,,,4,26159,27,7,2,11,7,NULL,24,0,4,7,13,NULL,0,1,1529657,4,NULL,"2015-07-18 02:43:01","Mosaic Stadium",Saskatchewan,4,en,A,27,1
