playerid,touchdowns,points,fumbles
8097,0,0,0
8099,0,0,0
8103,0,0,0
8105,0,0,0
8109,0,0,0
8113,0,0,0
8115,0,0,1
8117,0,0,0
8121,0,0,0
8125,0,0,0
8127,0,0,0
8129,0,0,0
8131,0,0,0
8135,0,0,0
8139,0,0,0
8141,0,0,0
8143,0,0,0
8145,0,0,0
8147,0,0,0
8151,0,0,0
8155,0,0,0
8163,0,0,0
8165,0,0,0
8167,0,0,0
8169,0,0,0
8171,0,0,0
8179,0,0,0
8185,0,0,0
8205,0,0,0
8207,0,0,0
8209,0,0,0
8215,0,0,0
8217,0,0,0
8221,0,0,0
8223,0,0,0
8227,0,1,0
8229,0,0,0
8231,0,0,0
8233,0,0,0
8235,0,0,0
8241,0,0,0
8243,0,0,0
8245,0,0,0
8253,3,18,0
8259,0,0,0
8303,1,6,0
8305,0,0,0
8315,0,0,0
8329,0,0,0
