sked_id,home_initial
1455,ham
1457,cgy
1459,wpg
1461,edm
1463,cgy
1465,tor
1467,ham
1469,cgy
1471,edm
1473,mtl
1475,wpg
1477,ssk
1479,bc
1481,mtl
1483,cgy
1485,ssk
1487,ham
1489,tor
1491,bc
1493,wpg
1495,edm
1497,mtl
1499,cgy
1501,ham
1503,edm
1505,bc
1507,tor
1509,wpg
1511,ssk
1513,ham
1515,mtl
1517,wpg
1519,cgy
1521,tor
1523,bc
1525,ssk
1527,edm
1529,cgy
1531,bc
1533,ham
1535,ssk
1537,tor
1539,mtl
1541,wpg
1543,edm
1545,bc
1547,ssk
1549,ham
1551,cgy
1553,edm
1555,wpg
1557,ssk
1559,mtl
1561,tor
1563,wpg
1565,cgy
1567,bc
1569,ssk
1571,edm
1573,ham
1575,mtl
1577,tor
1579,wpg
1581,ham
1583,edm
1585,cgy
1587,tor
1589,mtl
1591,bc
1593,ham
1595,ssk
1597,mtl
1599,edm
1601,wpg
1603,tor
1605,ssk
1607,cgy
1609,tor
1611,edm
1613,bc
1615,cgy
1617,wpg
1619,bc
1621,mtl
1623,ham
1625,ham
1627,edm
1629,mtl
1631,cgy
1633,bc
1635,cgy
1637,edm
1639,wpg
1641,tor
1643,ssk
1645,mtl
1647,bc
1649,ham
1651,cgy
1653,wpg
1655,edm
1657,tor
1659,wpg
1661,bc
1663,ham
1665,edm
1667,mtl
1669,cgy
1671,tor
1673,ssk
1675,mtl
1677,ham
1679,bc
1681,ssk
1683,ham
1685,cgy
1687,tor
1689,edm
1691,mtl
1693,bc
1695,wpg
1697,edm
1699,ham
1701,cgy
1703,tor
1705,ssk
1707,wpg
1709,bc
1711,mtl
1713,edm
1715,bc
1717,ssk
1719,ham
1721,cgy
1723,edm
1725,tor
1727,mtl
1729,wpg
1731,ssk
1733,ham
1735,cgy
1737,mtl
1739,wpg
1741,ham
1743,bc
1745,edm
1747,cgy
1749,tor
1751,ssk
1753,edm
1755,tor
1757,wpg
1759,mtl
1761,bc
1763,ham
1765,wpg
1767,ssk
1769,edm
1771,tor
1773,mtl
1775,ssk
1777,cgy
1779,wpg
1781,edm
1783,bc
1785,cgy
1787,bc
1789,tor
1791,ham
1793,mtl
1795,ham
1797,edm
1799,mtl
1801,bc
1803,ham
1805,cgy
1807,tor
1809,wpg
1811,ssk
1813,ham
1815,mtl
1817,edm
1819,bc
1821,wpg
1823,cgy
1825,bc
1827,ssk
1829,ham
1831,mtl
1833,tor
1835,edm
1837,ssk
1839,bc
1841,cgy
1843,wpg
1845,tor
1847,mtl
1849,wpg
1851,ssk
1853,ham
1855,cgy
1857,bc
1859,edm
1861,mtl
1863,tor
1865,ssk
1867,edm
1869,mtl
1871,ham
1873,cgy
1875,wpg
1877,tor
1879,bc
1881,ssk
1883,edm
1885,ham
1887,wpg
1889,edm
1891,mtl
1893,bc
1895,ssk
1897,ham
1899,cgy
1901,edm
1903,tor
1905,mtl
1907,wpg
1909,cgy
1911,tor
1913,bc
1915,ham
1917,wpg
1919,edm
1921,bc
1923,ssk
1925,tor
1927,mtl
1929,ham
1931,cgy
1933,bc
1935,ham
1937,mtl
1939,wpg
1941,ssk
1943,tor
1945,cgy
1947,edm
1949,tor
1951,mtl
1953,ssk
1955,cgy
1957,wpg
1959,bc
1961,ham
1963,edm
1965,mtl
1967,edm
1969,ham
1971,cgy
1973,cgy
1975,wpg
1977,ham
1979,bc
1981,tor
1983,ssk
1985,cgy
1987,mtl
1989,edm
1991,cgy
1993,bc
1995,mtl
1997,tor
1999,wpg
2001,bc
2003,ssk
2005,ham
2007,mtl
2009,edm
2011,ham
2013,ssk
2015,tor
2017,edm
2019,cgy
2021,bc
2023,mtl
2025,bc
2027,wpg
2029,ssk
2031,tor
2033,edm
2035,cgy
2037,ham
2039,cgy
2041,edm
2043,ham
2045,bc
2047,edm
2049,wpg
2051,tor
2053,ssk
2055,mtl
2057,tor
2059,edm
2061,wpg
2063,bc
2065,mtl
2067,ssk
2069,cgy
2071,ham
2073,ham
2075,wpg
2077,ssk
2079,mtl
2081,bc
2083,tor
2085,cgy
2087,bc
2089,edm
2091,ham
2093,ssk
2095,bc
2097,wpg
2099,ssk
2101,cgy
2103,mtl
2105,tor
2107,ham
2109,edm
2111,bc
2113,tor
2115,wpg
2117,cgy
2119,tor
2121,mtl
2123,ssk
2125,edm
2127,wpg
2129,ham
2131,mtl
2133,cgy
2135,mtl
2137,cgy
2139,tor
2141,edm
2143,tor
2145,wpg
2147,cgy
2149,tor
2151,mtl
2153,ssk
2155,bc
2157,orr
2159,ham
2161,orr
2163,ssk
2165,mtl
2167,bc
2169,ham
2171,cgy
2173,orr
2175,tor
2177,ham
2179,wpg
2181,mtl
2183,ssk
2185,wpg
2187,orr
2189,ham
2191,tor
2193,edm
2195,bc
2197,cgy
2199,mtl
2201,orr
2203,ssk
2205,bc
2207,wpg
2209,tor
2211,ham
2213,edm
2215,cgy
2217,mtl
2219,tor
2221,wpg
2223,bc
2225,ssk
2227,tor
2229,orr
2231,bc
2233,ham
2235,edm
2237,cgy
2239,mtl
2241,edm
2243,wpg
2245,orr
2247,ssk
2249,ham
2251,cgy
2253,edm
2255,tor
2257,wpg
2259,cgy
2261,ham
2263,bc
2265,ssk
2267,wpg
2269,tor
2271,bc
2273,orr
2275,cgy
2277,ssk
2279,ham
2281,edm
2283,mtl
2285,tor
2287,orr
2289,ssk
2291,bc
2293,wpg
2295,orr
2297,cgy
2299,ham
2301,mtl
2303,ssk
2305,edm
2307,mtl
2309,orr
2311,tor
2313,edm
2315,wpg
2317,ham
2319,bc
2321,cgy
2323,mtl
2325,edm
2327,tor
2329,cgy
2331,tor
2333,edm
2335,ham
2337,ssk
2339,spr
2341,bst
2343,bc
2345,mmd
2347,orr
2349,wpg
2351,cgy
2353,tor
2355,sat
2357,bbr
2359,orr
2361,cgy
2363,ssk
2365,bc
2367,edm
2369,spr
2371,wpg
2373,tor
2375,ssk
2377,ham
2379,mmd
2381,bst
2383,spr
2385,orr
2387,wpg
2389,bc
2391,mmd
2393,bbr
2395,sat
2397,edm
2399,orr
2401,cgy
2403,sat
2405,bst
2407,spr
2409,bbr
2411,ham
2413,wpg
2415,bc
2417,ham
2419,cgy
2421,mmd
2423,bbr
2425,ssk
2427,edm
2429,tor
2431,bc
2433,orr
2435,sat
2437,spr
2439,cgy
2441,tor
2443,ssk
2445,ham
2447,sat
2449,bst
2451,bbr
2453,orr
2455,tor
2457,wpg
2459,cgy
2461,edm
2463,spr
2465,ham
2467,mmd
2469,ssk
2471,wpg
