playerid,touchdowns,points,fumbles,first,last,team,height,weight,birthdate,birthplace,position
3007,0,0,0,Juwan,Simpson,Calgary Stampeders,6.03,234,30871,"Decatur, AL",DL
3013,0,0,0,Ben,Archibald,11,6.04,322,28728,"Tacoma, WA",DL
3027,0,0,0,Damaso,Munoz ,Ottawa Redblacks,5.11,219,31603,"Miami, FL",OLB
3035,0,0,0,Kevin,Dixon,Calgary Stampeders,6.02,242,31904,"Sebring, FL",QB
3039,0,0,0,Karl,McCartney,Calgary Stampeders,6,233,32110,"Nassau, BS",OG
3047,0,0,0,Noel,Prefontaine,Calgary Stampeders,6,210,27021,"Camp Pendleton, CA",DB
3049,3,18,0,Marcus,Henry,Ottawa Redblacks,6.05,224,31464,"Hinesville, GA",WR
3067,0,0,0,Keron,Williams,Calgary Stampeders,6.01,260,30928,"Manchester, JM",DB
3079,0,374,4,Sean,Whyte,Montreal Alouettes,5.09,175,31343,"White Rock, B.C.",OG
3095,0,0,0,Jason,Arakgi,BC Lions,6.02,205,31179,"Montreal, QC",DB
3103,0,0,0,Jeraill,McCuller,Calgary Stampeders,6.07,325,32028,"Chesapeake, VA",QB
3105,0,0,0,Caesar,Rayford,Montreal Alouettes,6.07,285,31475,"Leesville, LA",OG
3127,0,0,3,Jon,Gott,Ottawa Redblacks,6.03,297,31322,"Edmonton, AB",QB
3133,0,0,0,Keith,Shologan,Ottawa Redblacks,6.02,290,31377,"Spruce Grove, AB",OG
3137,0,0,0,Tim,Cronk,Winnipeg Blue Bombers,6,248,31950,"Kingston, ON",WR
3145,0,0,0,Don,Oramasionwu,Edmonton Eskimos,6.02,290,31567,"Winnipeg, MB",DB
3155,6,37,1,Spencer,Watt,Hamilton Tigercats,6,180,32492,"North Vancouver, BC",RB
3175,1,6,5,Jovon,Johnson,Ottawa Redblacks,5.09,189,30622,"Erie, PA",RB
3181,0,0,0,Pierre-Luc,Labbé,11,6.02,230,30816,"Québec City, QC",C
3185,0,0,0,Brendon,LaBatte,Saskatchewan Roughriders,6.04,304,31667,"Weyburn, SK",OG
3187,0,0,0,Aaron,Hargreaves,Calgary Stampeders,6.04,233,31619,"Ladner, BC",WR
3199,4,24,1,Cory,Watson,Edmonton Eskimos,6.03,211,30768,"Dollard des Ormeaux, QC",S
3205,0,0,0,Patrick,Neufeld,Winnipeg Blue Bombers,6.06,312,32503,"Regina, SK",RB
3227,0,0,0,Stuart,Foord,Calgary Stampeders,5.11,195,31313,"Regina, SK",DB
3233,0,0,2,Kevin,Scott,NULL,6.03,232,30514,"Ottawa, ON",OG
3239,0,0,0,Josh,Neiswander,Calgary Stampeders,6.02,211,31748,"Winnsboro, TX",WR
3249,2,12,1,Keon,Raymond,Calgary Stampeders,5.1,198,30282,"St. Louis, MO",WR
3269,0,0,0,Chris,Van Zeyl,Toronto Argonauts,6.06,312,30563,"Fonthill, ON",OLB
3279,0,0,0,Khalif,Mitchell,NULL,6.06,315,31144,"Virginia Beach, VA",DL
3285,0,240,2,Grant,Shaw,Edmonton Eskimos,6.03,225,30897,"Edmonton, AB",OG
3291,5,30,8,Kerry,Joseph,NULL,6.2,210,26941,"New Iberia, LA",WR
3299,0,0,0,Quincy,Butler,Calgary Stampeders,6.01,189,30645,"San Antonio, TX",OL
3315,0,0,0,Simeon,Rottier,Edmonton Eskimos,6.06,295,30702,"Westlock, AB",OG
3327,2,12,1,Scott,McHenry,Saskatchewan Roughriders,6.02,217,31922,"Saskatoon, SK",WR
3331,0,0,1,Marc-Antoine,Fortin,Calgary Stampeders,6.04,245,32017,"Quebec, QC",OG
3335,0,0,0,Steve,Myddelton,NULL,6.03,305,31620,"Barrie, ON",RB
3339,0,0,0,Mike,Cornell,NULL,6.02,225,31751,"Hamilton, ON",DT
3355,1,6,0,Weldon,Brown,Saskatchewan Roughriders,5.1,185,31909,"Shreveport, LA",RB
3363,5,31,1,Jabari,Arthur,Calgary Stampeders,6.04,223,30191,"Montreal, QC",DB
3373,5,30,3,Hugh,Charles,Calgary Stampeders,5.08,193,31419,"Tulsa, OK",RB
3375,0,0,0,Tim,Maypray,Calgary Stampeders,5.08,170,32276,"Madisonville, KY",OG
3387,0,46,0,Justin ,Palardy,NULL,5.11,200,32287,"Truro, NS",DB
3405,0,0,0,Eddie,Steele,Edmonton Eskimos,6.02,280,32328,"Winnipeg, MB",OG
3423,0,0,0,Eric,Fraser,BC Lions,6.01,202,31902,"Burnaby, BC",QB
3437,21,126,10,Andrew ,Harris,BC Lions,5.11,213,31891,"Winnipeg, MB",OG
3449,0,0,0,Craig,Butler,Hamilton Tigercats,6.02,196,32496,"London, ON",OLB
3461,0,0,0,Torrey,Davis,Edmonton Eskimos,6.03,298,32410,"Seffner, FL",DB
3467,0,0,0,James,Yurichuk,Toronto Argonauts,6.02,240,31717,"Brampton, ON",OL
3541,0,0,0,Lin-J,Shell,Winnipeg Blue Bombers,6,201,29881,"Orlando, FL",QB
3557,3,18,0,Brandon,Stewart,Hamilton Tigercats,6.01,203,31548,"Seattle, WA",QB
3571,0,0,0,Ivan,Brown,NULL,6.02,240,31246,"Regina, SSK",DL
3573,2,12,1,Matt,Carter,Ottawa Redblacks,6.02,199,31626,"Kelowna, BC",RB
3589,3,18,5,Tim ,Brown,Calgary Stampeders,5.08,190,30980,"Stockton, CA",WR
